Arrayname	Samplename	Class
27CG_03i16741_K_Two_Cycle_IVT_06mar06.CEL	27CG	RCC
28RA_04i3579_K_Two_Cycle_IVT_06mar06.CEL	28RA	RCC
33K_04i13776_Two_Cycle_IVT_27oct05.CEL	33BV	RCC
36K_04i18916Two_Cycle_IVT_27oct05.CEL	36MML	RCC
37K_04i19473_Two_Cycle_IVT_12.10.05.CEL	37BA	RCC
40K_04i20257_Two_Cycle_IVT_27oct05.CEL	40RR	RCC
45DM_05i5902_K_Two_Cycle_IVT_25gen06.CEL	45DM	RCC
46SA_05i6348_K_Two_Cycle_IVT_26gen06.CEL	46SA	RCC
47CA_04i3579_K_Two_Cycle_IVT_06mar06.CEL	47CA	RCC
49CA_05i6348_K_Two_Cycle_IVT_25gen06.CEL	49CA	RCC
50PC_05i9837_K_Two_Cycle_IVT_06mar06.CEL	50PC	RCC
51MI_05i10081_K_Two_Cycle_IVT_26gen06.CEL	51MI	RCC
28RA_04i3579_C_Two_Cycle_IVT_06mar06.CEL	Norm1	normal
32GM_04i12879_C_Two_Cycle_IVT_25gen06.CEL	Norm2	normal
33N_04i13776_Two_Cycle_IVT_27oct05.CEL	Norm3	normal
35PA_04i18143_C_Two_Cycle_IVT_25gen06.CEL	Norm4	normal
36N_04i18916Two_Cycle_IVT_27oct05.CEL	Norm5	normal
37N_04i19473_Two_Cycle_IVT_12.10.05.CEL	Norm6	normal
40N_04i20257_Two_Cycle_IVT_27oct05.CEL	Norm7	normal
41SG_04i20655_C_Two_Cycle_IVT_26gen06.CEL	Norm8	normal
44DE_05i3989_C_Two_Cycle_IVT_25gen06.CEL	Norm9	normal
50PC_05i9837_C_Two_Cycle_IVT_26gen06.CEL	Norm10	normal
51MI_05i10081_C_Two_Cycle_IVT_26gen06.CEL	Norm11	normal
